user_id,age,gender,nationality
1,37,Male,east_asian
2,37,Male,east_asian
3,37,Male,east_asian
4,37,Male,east_asian
5,37,Male,east_asian
6,37,Male,east_asian
7,37,Male,east_asian
8,37,Male,east_asian
9,37,Male,east_asian
10,37,Male,east_asian
11,37,Male,east_asian
12,37,Male,east_asian
13,39,Female,hispanic
14,37,Male,hispanic
15,37,Male,hispanic
16,59,Male,celtic_english
17,59,Male,celtic_english
18,59,Male,celtic_english
19,59,Male,celtic_english
20,59,Male,celtic_english
21,59,Male,celtic_english
22,31,Male,celtic_english
23,31,Male,celtic_english
24,42,Female,hispanic
25,42,Female,hispanic
26,42,Female,hispanic
27,42,Female,hispanic
28,51,Female,celtic_english
29,51,Female,celtic_english
30,51,Female,celtic_english
31,51,Female,celtic_english
32,51,Female,celtic_english
33,51,Female,celtic_english
34,51,Female,celtic_english
35,51,Female,celtic_english
36,42,Male,european
37,42,Male,european
38,42,Male,european
39,42,Male,european
40,42,Male,european
41,42,Male,european
42,42,Male,european
43,33,Male,east_asian
44,33,Male,east_asian
45,33,Male,east_asian
46,33,Male,east_asian
47,33,Male,east_asian
48,33,Male,east_asian
49,33,Male,east_asian
50,33,Male,east_asian
51,33,Male,east_asian
52,33,Male,east_asian
53,33,Male,east_asian
54,50,Male,celtic_english
55,50,Male,celtic_english
56,50,Male,celtic_english
57,50,Male,celtic_english
58,35,Male,east_asian
59,35,Male,east_asian
60,47,Male,muslim
61,47,Male,muslim
62,47,Male,muslim
63,47,Male,muslim
64,47,Male,muslim
65,39,Male,east_asian
66,39,Male,east_asian
67,38,Male,south_asian
68,38,Male,south_asian
69,38,Male,south_asian
70,61,Male,celtic_english
71,61,Male,celtic_english
72,26,Female,south_asian
73,51,Male,celtic_english
74,51,Male,celtic_english
75,51,Male,celtic_english
76,51,Male,celtic_english
77,51,Male,celtic_english
78,51,Male,celtic_english
79,51,Male,celtic_english
80,51,Male,celtic_english
81,51,Male,celtic_english
82,51,Male,celtic_english
83,51,Male,celtic_english
84,44,Male,celtic_english
85,44,Male,celtic_english
86,44,Male,celtic_english
87,28,Female,east_asian
88,28,Female,east_asian
89,28,Female,east_asian
90,60,Male,celtic_english
91,60,Male,celtic_english
92,60,Male,celtic_english
93,60,Male,celtic_english
94,60,Male,celtic_english
95,60,Male,celtic_english
96,60,Male,celtic_english
97,60,Male,celtic_english
98,41,Male,celtic_english
99,41,Male,celtic_english
100,41,Male,celtic_english
101,41,Male,celtic_english
102,41,Male,celtic_english
103,41,Male,celtic_english
104,41,Male,celtic_english
105,37,Female,celtic_english
106,37,Female,celtic_english
107,37,Female,celtic_english
108,37,Female,celtic_english
109,59,Female,celtic_english
110,19,Male,celtic_english
111,19,Male,celtic_english
112,19,Male,celtic_english
113,19,Male,celtic_english
114,33,Male,muslim
115,33,Male,muslim
116,37,Male,celtic_english
117,37,Male,celtic_english
118,37,Male,celtic_english
119,37,Male,celtic_english
120,37,Male,celtic_english
121,37,Male,celtic_english
122,59,Male,celtic_english
123,59,Male,celtic_english
124,59,Male,celtic_english
125,59,Male,celtic_english
126,59,Male,celtic_english
127,59,Male,celtic_english
128,59,Male,celtic_english
129,59,Male,celtic_english
130,59,Male,celtic_english
131,59,Male,celtic_english
132,59,Male,celtic_english
133,59,Male,celtic_english
134,59,Male,celtic_english
135,59,Male,celtic_english
136,59,Male,celtic_english
137,59,Male,celtic_english
138,59,Male,celtic_english
139,35,Male,celtic_english
140,35,Male,celtic_english
141,35,Male,celtic_english
142,35,Male,celtic_english
143,35,Male,celtic_english
144,35,Male,celtic_english
145,47,Male,european
146,47,Male,european
147,46,Male,south_asian
148,25,Male,muslim
149,28,Male,nordic
150,28,Male,nordic
151,28,Male,nordic
152,28,Male,nordic
153,28,Male,nordic
154,28,Male,nordic
155,28,Male,nordic
156,28,Male,nordic
157,50,Female,european
158,50,Female,european
159,50,Female,european
160,50,Female,european
161,50,Female,european
162,50,Female,european
163,50,Female,european
164,33,Male,hispanic
165,33,Male,hispanic
166,33,Male,hispanic
167,33,Male,hispanic
168,31,Male,muslim
169,31,Male,muslim
170,31,Male,muslim
171,47,Female,european
172,47,Female,european
173,47,Female,european
174,47,Female,european
175,47,Female,european
176,47,Female,european
177,47,Female,european
178,47,Female,european
179,47,Female,european
180,47,Female,european
181,47,Female,european
182,47,Female,european
183,47,Female,european
184,47,Female,european
185,44,Male,south_asian
186,42,Male,hispanic
187,42,Male,hispanic
188,42,Male,hispanic
189,42,Male,hispanic
190,42,Male,hispanic
191,42,Male,hispanic
192,26,Male,east_asian
193,26,Male,east_asian
194,30,Male,east_asian
195,58,Male,celtic_english
196,58,Male,celtic_english
197,48,Male,european
198,48,Male,european
199,48,Male,european
200,48,Male,european
201,48,Male,european
202,38,Male,hispanic
203,38,Male,hispanic
204,38,Male,hispanic
205,38,Male,hispanic
206,38,Male,hispanic
207,38,Male,hispanic
208,38,Male,hispanic
209,38,Male,hispanic
210,38,Male,hispanic
211,40,Female,east_asian
212,42,Male,european
213,42,Male,european
214,42,Male,european
215,42,Male,european
216,42,Male,european
217,42,Male,european
218,52,Male,celtic_english
219,52,Male,celtic_english
220,52,Male,celtic_english
221,52,Male,celtic_english
222,52,Male,celtic_english
223,34,Male,east_asian
224,56,Male,celtic_english
225,56,Male,celtic_english
226,56,Male,celtic_english
227,56,Male,celtic_english
228,48,Male,european
229,48,Male,european
230,48,Male,european
231,48,Male,european
232,48,Male,european
233,48,Male,european
234,49,Female,celtic_english
235,49,Female,celtic_english
236,49,Female,celtic_english
237,51,Male,celtic_english
238,51,Male,celtic_english
239,51,Male,celtic_english
240,51,Male,celtic_english
241,51,Male,celtic_english
242,36,Male,hispanic
243,36,Male,hispanic
244,42,Male,european
245,42,Male,european
246,42,Male,european
247,42,Male,european
248,42,Male,european
249,42,Male,european
250,34,Male,south_asian
251,34,Male,south_asian
252,34,Male,south_asian
253,34,Male,south_asian
254,34,Male,south_asian
255,34,Male,south_asian
256,34,Male,south_asian
257,34,Male,south_asian
258,52,Female,celtic_english
259,52,Female,celtic_english
260,52,Female,celtic_english
261,52,Female,celtic_english
262,52,Female,celtic_english
