itemID,userID,rating
251589,1,1
246643,1,5
261266,1,5
251118,1,2
248180,1,2
19818589,1,4
3254790,1,5
380790,1,5
257509,1,5
498092,1,1
245969,1,2
246012,1,3
9468880,1,3
250604,1,4
277830,1,2
9939374,1,1
288453,1,4
246725,1,3
26877430,1,1
254053,1,2
248871,1,5
23123378,1,4
255277,1,5
347113,1,4
247574,1,5
249949,1,5
255385,1,5
251553,1,5
252584,1,2
21834988,1,1
333537,1,1
298408,1,5
249201,1,5
24290815,1,1
252890,1,5
273531,1,3
246146,1,1
249201,1,4
245910,1,5
37630615,1,2
274795,1,5
267719,1,4
248796,1,5
28625956,1,4
248252,1,4
248252,1,5
18621460,1,1
247613,1,5
300935,1,4
257463,1,3
635393,1,5
259149,1,4
284551,1,5
248702,1,5
361576,1,3
248214,1,3
247956,1,5
759739,1,5
250474,1,5
246752,1,5
246643,1,4
272270,1,5
259557,1,5
249908,1,5
251996,1,5
247545,1,3
257655,1,3
246643,1,3
278719,1,1
248908,1,5
247613,1,4
252577,1,5
246571,1,4
17623668,1,1
21217540,1,5
246571,1,2
962528,1,1
26569032,1,4
248232,1,5
252507,1,5
13550320,1,4
18656507,1,5
13534950,1,5
249445,1,4
13536916,1,5
249612,1,5
249943,1,1
262515,1,3
254053,1,4
248188,1,2
13534950,1,2
2318111,1,1
246571,1,3
265559,1,5
383625,1,5
29333096,1,5
248947,1,5
352370,1,5
246146,1,3
246270,1,5
246787,1,5
245771,1,5
248567,1,5
249508,1,5
265116,1,1
3278481,1,1
277273,1,4
248520,1,5
252816,1,5
247432,1,5
9058328,1,3
333669,1,5
13550320,1,2
13881644,1,1
303119,1,1
251894,1,5
245803,1,1
254053,1,5
13867052,1,5
18885069,1,5
39504618,1,3
257077,1,4
250615,1,5
254667,1,5
246571,1,5
249168,1,5
274058,1,5
275249,1,5
14572273,1,5
254510,1,3
245755,1,5
261069,1,4
259248,1,2
279935,1,5
248147,1,5
266923,1,5
257996,1,5
254355,1,3
19115034,1,5
13534950,1,4
18593363,1,1
250202,1,5
254510,1,5
245940,1,5
255755,1,5
373944,1,5
9043442,1,1
18599565,1,5
274361,1,3
250929,1,5
248214,1,5
335436,1,5
13534950,1,3
250084,1,5
38264177,1,1
246783,1,5
11640507,1,2
247387,1,1
36387984,1,1
249355,1,5
269015,1,4
247802,1,4
250736,1,2
8826561,1,5
13550320,1,3
248344,1,5
259149,1,5
268598,1,4
261765,1,5
307033,1,5
248655,1,5
28543283,1,4
13550320,2,3
